amenity,name,lon,lat
bank,Cajero Automatico Bancolombia,-75.6362119,6.2783063
hospital,Centro de Medicina Familiar,-75.6358643,6.277878
place_of_worship,Casa de sandris,-75.6400794,6.2801408
place_of_worship,Movimiento Misionero Mundial central Medellín,-75.5668263,6.2440428
place_of_worship,,-75.4980335,6.2103195
police,,-75.6559997,6.1849322
cinema,Royal Films,-75.5650868,6.2685947
nightclub,Son Havana,-75.5920146,6.2502302
place_of_worship,Iglesia emanuel,-75.6256966,6.279049
school,Serbal centro de bienestar,-75.5552671,6.2509737
school,,-75.56794,6.2104374
school,,-75.6024927,6.2388775
school,,-75.5757579,6.2372396
pharmacy,Droguería Alemana,-75.5967012,6.2328807
school,,-75.5655965,6.206552
bank,Bancolombia,-75.5942272,6.2436928
school,Rumba y Salsa Medellín,-75.6003791,6.2495135
school,Red Escuela Música de Medellín-Campoamor,-75.5849321,6.2131195
school,Institución Educativa José Asunción Silva,-75.5623301,6.3109608
school,Escuela Porfirio Barba Jacob,-75.5563959,6.2689585
school,Institución educativa Bravo Marquez,-75.557281,6.2657377
college,IE. Francisco Luis Hernández Betancourt,-75.558836,6.2796804
school,Instución Educativa Octavio Calderón Mejía,-75.5848449,6.2149011
pharmacy,Droguería Belén No. 3,-75.5985927,6.225219
university,Universidad Cooperativa de Colombia,-75.5611222,6.2465906
hospital,Metrosalud La cruz,-75.5367787,6.2700968
place_of_worship,Templo Comedor Santa Cruz de la Misericordia,-75.53735,6.2698089
nightclub,Discoteca,-75.5371168,6.2712404
place_of_worship,Parroquia Misionera Infancia de Jesus,-75.5371141,6.2714937
pharmacy,Punto de Salud,-75.5363906,6.2702686
community_centre,Salón Comunal Altos de la Cruz,-75.5377676,6.2710951
community_centre,Centro Vida Gerontológico,-75.5375145,6.2699233
pharmacy,Farmacia Central,-75.5376808,6.2715977
place_of_worship,,-75.5384438,6.2692968
school,Escuela Sección Alto de La Cruz,-75.5381542,6.2713844
clinic,Instituto de cancerologia,-75.57985,6.1936838
place_of_worship,Virgen,-75.6244352,6.2465983
place_of_worship,Virgen,-75.6213158,6.2468249
place_of_worship,Virgen del Carmen,-75.6224933,6.2443199
pharmacy,La polar,-75.6567402,6.18467
school,Colegio Parroquial Emaús,-75.5491378,6.2867715
school,Institución Educativa Villa Guadalupe,-75.5499518,6.2869263
school,Escuela Agripina Montes del Valle,-75.5503131,6.2863792
community_centre,IDMJI San Diego,-75.5714972,6.2340817
community_centre,IDMJI Caribe,-75.5726912,6.2738689
community_centre,,-75.5725629,6.2106304
bank,Sede Bancolombia Plaza mayor,-75.5758126,6.2432402
police,Estacion Policia de Turismo,-75.575902,6.2452836
bank,Davivienda,-75.5720474,6.2444696
bank,Bancolombia- sotano,-75.5738242,6.2445214
pharmacy,,-75.6110031,6.2492579
pharmacy,La enfermera,-75.6577188,6.1848329
bank,Banco de Bogotá,-75.6562778,6.1846255
school,FORMARTE UDEA,-75.5626831,6.261582
place_of_worship,Virgen María,-75.5670301,6.3123207
school,Instituto cultural Alexander Von Humboldt,-75.5971879,6.2600085
community_centre,Estación Forestal Piedras Blancas UN,-75.5047763,6.2590483
place_of_worship,Iglesia Cristiana Monte del Rey,-75.575591,6.2136384
food_court,Tostao,-75.5760999,6.2126132
hospital,Drogueria Dallas,-75.5423047,6.2668654
place_of_worship,SAN SEBASTIAN,-75.5421079,6.2663233
bus_station,COOTRACOVI,-75.5417602,6.2633069
place_of_worship,Cenfol Floresta,-75.6031541,6.2560985
pharmacy,La rebaja plus,-75.5822646,6.2559345
school,CI Manrique Versalles Las Mercedez 1,-75.5435559,6.2619072
place_of_worship,Iglesia,-75.5438392,6.2659038
school,Elefun spanish school,-75.5893265,6.251652
marketplace,Mercado la 30,-75.5430462,6.2655663
pharmacy,,-75.5446566,6.2659937
pharmacy,Pasteur,-75.5797323,6.2549316
pharmacy,Droguería Torrenza,-75.5817885,6.2557254
bank,Banco AV Villas,-75.5632004,6.248326
bank,Banco de Occidente,-75.5658317,6.2494138
bank,Banco Popular,-75.5651128,6.2490246
pharmacy,Drogueria Estación Acevedo,-75.5566531,6.3011729
bank,Banco Caja Social,-75.5963995,6.2330507
clinic,Suxi Medical,-75.5937655,6.238882
place_of_worship,Iglesia Renaciendo en Cristo,-75.5962037,6.2340799
pharmacy,Drogueriai Azucena,-75.5569938,6.2993214
bank,Banco de Occidente,-75.5749642,6.2230091
place_of_worship,Salón del Reino de los Testigos de Jehová,-75.5527881,6.2969433
school,Santa Teresa,-75.5563859,6.3017182
bank,Banco de Occidente,-75.5723736,6.2006962
school,Pablo Neruda,-75.5600005,6.2908647
place_of_worship,Jesucristo es el Señor,-75.5486816,6.2828971
pharmacy,Droguería Maxi Salud,-75.5583067,6.2914686
pharmacy,Droguería Provital,-75.5453825,6.2892117
place_of_worship,Ministerio Verdad y Vida Iglesia Cristiana,-75.5452913,6.2890531
pharmacy,Droguería Maravilla,-75.5603184,6.2833504
pharmacy,Droguería Nueva Vida,-75.5583952,6.2716501
place_of_worship,,-75.5536316,6.2763158
place_of_worship,Iglesia Cristiana Casa del Mesias,-75.553578,6.2734977
place_of_worship,Iglesia Cristiana Rey de Paz,-75.5535297,6.2735137
bank,Bancompartir,-75.5964598,6.2343905
bank,Bancolombia,-75.5820094,6.2175656
hospital,Lineas Hospitalarias,-75.5862165,6.2391753
pharmacy,Droguería Yamille,-75.5643927,6.2641674
school,José Roberto Vasquez,-75.5501635,6.2687279
pharmacy,Droguería Parque Gaitan,-75.5480888,6.264526
place_of_worship,Iglesia Cristiana Cuadrangular,-75.5783898,6.2262721
